TIPO_ARCHIVO|ARCHIVO|SENTENCIA_DML|ESQUEMA_OUTPUT|TABLA_OUTPUT|ESQUEMA_INPUT|TABLA_INPUT
Vistas|SQLAExport1440.txt|REPLACE VIEW|ARMVIEWS|RMU_CAMPANAS_FSLDM_A_1170630|EDW_VW|BCI_CAMPAIGN_CHANNEL_FAMILY
Vistas|SQLAExport1440.txt|REPLACE VIEW|ARMVIEWS|RMU_CAMPANAS_FSLDM_A_1170630|ARMCORE|RT_OUTPUT_RUN_CONFIG_HISTORY
Vistas|SQLAExport1441.txt|REPLACE VIEW|ARMVIEWS|RMU_INVDAP_OFERTA_EGBKP|ARMINP|IN_OfertasEspecialesCRM_V2_TD
Vistas|SQLAExport1442.txt|REPLACE VIEW|ARMVIEWS|RMA_WORKFLOWCHIP_SND_ABN_EX_FECHA_A|ARMVIEWS|RMU_WORKFLOWCHIP_SND_ABN_EX_FECHA_A
Vistas|SQLAExport1443.txt|REPLACE VIEW|ARMVIEWS|RMU_SEGMENTO_INR_A|BCIMKT|MP_SEGMENTO_INR_HIST
Vistas|SQLAExport1444.txt|REPLACE VIEW|ARMVIEWS|RMA_CCA_LD_CHIP_SEG_HOMOLOG_A|ARMVIEWS|RMU_BANCO_OFICINA_CLIENTE_A
Vistas|SQLAExport1444.txt|REPLACE VIEW|ARMVIEWS|RMA_CCA_LD_CHIP_SEG_HOMOLOG_A|ARMVIEWS|RMU_CRM_OFICINAS_PLAN_SUR_NORTE
Vistas|SQLAExport1445.txt|REPLACE VIEW|ARMVIEWS|RMA_LKG_OPT_AVA_GN_A|ARMOUT|RMC_AVA_TCR_VAR_CAMP
Vistas|SQLAExport1445.txt|REPLACE VIEW|ARMVIEWS|RMA_LKG_OPT_AVA_GN_A|BCIMKT|IN_AVAC_NEW_TASA
Vistas|SQLAExport1445.txt|REPLACE VIEW|ARMVIEWS|RMA_LKG_OPT_AVA_GN_A|ARMVIEWS|RMU_ULTIMO_DIA_HABIL_A
Vistas|SQLAExport1446.txt|REPLACE VIEW|ARMVIEWS|RMS_LEAD_KEY_HISTORY|ARMCUST|LH_LEAD_KEY_HISTORY
Vistas|SQLAExport1447.txt|REPLACE VIEW|ARMVIEWS|RMA_DECIL_PROP_SEG_ONC|ARMVIEWS|RMU_MOD_PROP_SEGUROS
Vistas|SQLAExport1448.txt|REPLACE VIEW|ARMVIEWS|RMA_CLT_PERFILAMIENTO_A|ARMVIEWS|RMU_SALDO_MENSUAL_FFMM_M
Vistas|SQLAExport1448.txt|REPLACE VIEW|ARMVIEWS|RMA_CLT_PERFILAMIENTO_A|ARMVIEWS|RMU_SALDO_MENSUAL_DAP_M
Vistas|SQLAExport1448.txt|REPLACE VIEW|ARMVIEWS|RMA_CLT_PERFILAMIENTO_A|ARMVIEWS|RMU_INV_PERFIL_NUEVO_A
Vistas|SQLAExport1448.txt|REPLACE VIEW|ARMVIEWS|RMA_CLT_PERFILAMIENTO_A|ARMVIEWS|RMU_INV_PERFIL_HISTORICO_A
Vistas|SQLAExport1449.txt|CREATE VIEW|ARMVIEWS|RMU_COMPANIA_SEGURO_GARANTIAS|Edc_Journey_Vw|BCI_COMPANIAS_SEGUROS
Vistas|SQLAExport145.txt|CREATE VIEW|ARMVIEWS|RMU_PROB_AVA_CEL_INT|ARMVIEWS|RMA_AVA_TCR_INTEGRAL_A
Vistas|SQLAExport145.txt|CREATE VIEW|ARMVIEWS|RMU_PROB_AVA_CEL_INT|bcimkt|MP_BCI_CRM_BRUTO_DIA
Vistas|SQLAExport1450.txt|CREATE VIEW|ARMVIEWS|RMS_TABLON_CAMPANA_A|ARMVIEWS|RMU_TABLON_CAMPANA_A
